ilan_no,room,salon,brut_m2,net_m2,floor_location,building_age,building_floor,compliance_with_loan,bathroom_amount,building_type,fuel_type,price,il,ilce,mahalle,home_link

16354-23673,3,1,145,135,3,16,5,True,2,Betonarme,Doğalgaz,2875000,Ankara,Keçiören,AşağıEğlence,https://www.hepsiemlak.com//en/ankara-kecioren-asagi-eglence-satilik/daire/16354-23673

132040-377,2,1,120,110,2,4,4,True,1,Betonarme,Doğalgaz,2390000,Balıkesir,Edremit,Akçay,https://www.hepsiemlak.com//en/balikesir-edremit-akcay-satilik/daire/132040-377

129135-326,2,1,90,80,Yüksek Giriş,5,4,True,1,Betonarme,Doğalgaz,1650000,Antalya,Muratpaşa,Etiler,https://www.hepsiemlak.com//en/antalya-muratpasa-etiler-satilik/daire/129135-326

129135-326,2,1,90,80,Yüksek Giriş,5,4,True,1,Betonarme,Doğalgaz,,Antalya,Muratpaşa,Etiler,https://www.hepsiemlak.com//en/antalya-muratpasa-gebizli-satilik/daire/129135-264

129135-326,2,1,90,80,Yüksek Giriş,5,4,True,1,Betonarme,Doğalgaz,,Antalya,Muratpaşa,Etiler,https://www.hepsiemlak.com//en/balikesir-edremit-akcay-satilik/daire/97948-8022

129135-328,5,1,250,230,Çatı Katı,5,4,True,2,Betonarme,Doğalgaz,3649000,Antalya,Muratpaşa,Muratpaşa,https://www.hepsiemlak.com//en/antalya-muratpasa-muratpasa-satilik/daire/129135-328

113569-4290,2,1,115,105,1,4,4,True,2,Betonarme,Doğalgaz,2350000,İstanbul,Beylikdüzü,Yakuplu,https://www.hepsiemlak.com//en/istanbul-beylikduzu-yakuplu-satilik/daire/113569-4290

103555-1148,3,1,130,125,2,20,3,True,1,Betonarme,Doğalgaz,1250000,Balıkesir,Edremit,Akçay,https://www.hepsiemlak.com//en/balikesir-edremit-akcay-satilik/daire/103555-1148

113900-765,2,1,95,90,Ara Kat,0,3,True,1,Betonarme,Doğalgaz,399000,Sakarya,Karasu,Yalı,https://www.hepsiemlak.com//en/sakarya-karasu-yali-satilik/daire/113900-765

113900-765,2,1,95,90,Ara Kat,0,3,True,1,Betonarme,Doğalgaz,,Sakarya,Karasu,Yalı,https://www.hepsiemlak.com//en/sakarya-karasu-yali-satilik/daire/133471-42

113900-765,2,1,95,90,Ara Kat,0,3,True,1,Betonarme,Doğalgaz,,Sakarya,Karasu,Yalı,https://www.hepsiemlak.com//en/aydin-didim-hisar-satilik/daire/124592-1

112101-1445,1,1,60,50,En Üst Kat,2,4,True,1,Betonarme,Elektrik,1350000,Aydın,Kuşadası,Davutlar,https://www.hepsiemlak.com//en/aydin-kusadasi-davutlar-satilik/daire/112101-1445

90940-2553,2,1,110,100,2,5,4,True,2,Betonarme,Elektrik,1750000,Balıkesir,Edremit,Altınkum,https://www.hepsiemlak.com//en/balikesir-edremit-altinkum-satilik/daire/90940-2553

90940-2553,2,1,110,100,2,5,4,True,2,Betonarme,Elektrik,,Balıkesir,Edremit,Altınkum,https://www.hepsiemlak.com//en/balikesir-edremit-akcay-satilik/daire/90940-2238

90940-2553,2,1,110,100,2,5,4,True,2,Betonarme,Elektrik,,Balıkesir,Edremit,Altınkum,https://www.hepsiemlak.com//en/istanbul-kadikoy-feneryolu-satilik/daire/5632-7774

